[Launch] model=fedrdn | dataset=fl_cifar10 | clients=10 | rounds=100 | local_epoch=5 | batch_size=64 | noise_mode=uniform | noise_value=0.5
Files already downloaded and verified
Files already downloaded and verified
mean: 5000.0
std: 0.0
Data statistics: {0: {0: 736, 1: 682, 2: 885, 3: 499, 4: 556, 5: 291, 6: 516, 7: 269, 8: 286, 9: 280}, 1: {0: 248, 1: 487, 2: 301, 3: 329, 4: 357, 5: 376, 6: 269, 7: 296, 8: 402, 9: 1935}, 2: {0: 271, 1: 309, 2: 328, 3: 508, 4: 270, 5: 1010, 6: 301, 7: 1050, 8: 654, 9: 299}, 3: {0: 446, 1: 262, 2: 276, 3: 666, 4: 267, 5: 274, 6: 1500, 7: 378, 8: 650, 9: 281}, 4: {0: 491, 1: 1259, 2: 267, 3: 326, 4: 782, 5: 460, 6: 295, 7: 523, 8: 309, 9: 288}, 5: {0: 858, 1: 279, 2: 327, 3: 521, 4: 515, 5: 398, 6: 286, 7: 672, 8: 404, 9: 740}, 6: {0: 296, 1: 282, 2: 1553, 3: 361, 4: 306, 5: 292, 6: 410, 7: 283, 8: 821, 9: 396}, 7: {0: 373, 1: 468, 2: 362, 3: 281, 4: 445, 5: 308, 6: 801, 7: 730, 8: 964, 9: 268}, 8: {0: 587, 1: 361, 2: 429, 3: 1183, 4: 1061, 5: 291, 6: 247, 7: 255, 8: 310, 9: 276}, 9: {0: 758, 1: 591, 2: 320, 3: 361, 4: 314, 5: 1286, 6: 307, 7: 486, 8: 298, 9: 279}}
========================================================================================================================
Training started at: 2026-04-10 08:02:51
Result directory: results/fl_cifar10/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.5_nt-symmetric_std-0.01_eps-1e-06
Result txt file : results/fl_cifar10/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.5_nt-symmetric_std-0.01_eps-1e-06/fedrdn_fl_cifar10_20260410-080251-091024_pid3660547.txt
Result log file : results/fl_cifar10/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.5_nt-symmetric_std-0.01_eps-1e-06/fedrdn_fl_cifar10_20260410-080251-091024_pid3660547.log
------------------------------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar10
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedRDN std: 0.01
FedRDN eps: 1e-06
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=10.000 | RoundTime=174.90s | TotalTime=174.90s | Method=fedrdn
[Round 002/100] Phase=standard | Stage=warmup | Acc=20.200 | RoundTime=158.66s | TotalTime=333.57s | Method=fedrdn
[Round 003/100] Phase=standard | Stage=warmup | Acc=34.660 | RoundTime=161.12s | TotalTime=494.70s | Method=fedrdn
[Round 004/100] Phase=standard | Stage=warmup | Acc=41.760 | RoundTime=160.34s | TotalTime=655.05s | Method=fedrdn
[Round 005/100] Phase=standard | Stage=warmup | Acc=44.330 | RoundTime=159.76s | TotalTime=814.82s | Method=fedrdn
[Round 006/100] Phase=standard | Stage=warmup | Acc=48.180 | RoundTime=160.81s | TotalTime=975.64s | Method=fedrdn
[Round 007/100] Phase=standard | Stage=warmup | Acc=50.390 | RoundTime=157.78s | TotalTime=1133.43s | Method=fedrdn
[Round 008/100] Phase=standard | Stage=warmup | Acc=52.710 | RoundTime=161.31s | TotalTime=1294.75s | Method=fedrdn
[Round 009/100] Phase=standard | Stage=warmup | Acc=54.320 | RoundTime=157.94s | TotalTime=1452.70s | Method=fedrdn
[Round 010/100] Phase=standard | Stage=warmup | Acc=55.730 | RoundTime=160.21s | TotalTime=1612.92s | Method=fedrdn
[Round 011/100] Phase=standard | Stage=warmup | Acc=56.630 | RoundTime=159.51s | TotalTime=1772.43s | Method=fedrdn
[Round 012/100] Phase=standard | Stage=warmup | Acc=58.320 | RoundTime=159.02s | TotalTime=1931.46s | Method=fedrdn
[Round 013/100] Phase=standard | Stage=warmup | Acc=58.870 | RoundTime=159.54s | TotalTime=2091.00s | Method=fedrdn
[Round 014/100] Phase=standard | Stage=warmup | Acc=60.000 | RoundTime=159.50s | TotalTime=2250.52s | Method=fedrdn
[Round 015/100] Phase=standard | Stage=warmup | Acc=60.900 | RoundTime=160.78s | TotalTime=2411.30s | Method=fedrdn
[Round 016/100] Phase=standard | Stage=warmup | Acc=61.070 | RoundTime=158.93s | TotalTime=2570.24s | Method=fedrdn
[Round 017/100] Phase=standard | Stage=warmup | Acc=61.930 | RoundTime=159.30s | TotalTime=2729.55s | Method=fedrdn
[Round 018/100] Phase=standard | Stage=warmup | Acc=62.850 | RoundTime=161.70s | TotalTime=2891.25s | Method=fedrdn
[Round 019/100] Phase=standard | Stage=warmup | Acc=62.210 | RoundTime=161.96s | TotalTime=3053.21s | Method=fedrdn
[Round 020/100] Phase=standard | Stage=warmup | Acc=64.490 | RoundTime=159.31s | TotalTime=3212.53s | Method=fedrdn
[Round 021/100] Phase=standard | Stage=warmup | Acc=64.130 | RoundTime=160.40s | TotalTime=3372.93s | Method=fedrdn
[Round 022/100] Phase=standard | Stage=warmup | Acc=64.390 | RoundTime=160.37s | TotalTime=3533.31s | Method=fedrdn
[Round 023/100] Phase=standard | Stage=warmup | Acc=65.650 | RoundTime=158.71s | TotalTime=3692.03s | Method=fedrdn
[Round 024/100] Phase=standard | Stage=warmup | Acc=65.940 | RoundTime=159.78s | TotalTime=3851.82s | Method=fedrdn
[Round 025/100] Phase=standard | Stage=warmup | Acc=65.380 | RoundTime=160.08s | TotalTime=4011.91s | Method=fedrdn
[Round 026/100] Phase=standard | Stage=warmup | Acc=66.100 | RoundTime=163.80s | TotalTime=4175.71s | Method=fedrdn
[Round 027/100] Phase=standard | Stage=warmup | Acc=66.070 | RoundTime=159.91s | TotalTime=4335.63s | Method=fedrdn
[Round 028/100] Phase=standard | Stage=warmup | Acc=65.690 | RoundTime=159.52s | TotalTime=4495.16s | Method=fedrdn
[Round 029/100] Phase=standard | Stage=warmup | Acc=66.200 | RoundTime=162.05s | TotalTime=4657.22s | Method=fedrdn
[Round 030/100] Phase=standard | Stage=warmup | Acc=65.230 | RoundTime=159.12s | TotalTime=4816.34s | Method=fedrdn
[Round 031/100] Phase=standard | Stage=warmup | Acc=66.500 | RoundTime=160.16s | TotalTime=4976.52s | Method=fedrdn
[Round 032/100] Phase=standard | Stage=warmup | Acc=65.640 | RoundTime=158.98s | TotalTime=5135.51s | Method=fedrdn
[Round 033/100] Phase=standard | Stage=warmup | Acc=65.400 | RoundTime=160.53s | TotalTime=5296.04s | Method=fedrdn
[Round 034/100] Phase=standard | Stage=warmup | Acc=64.590 | RoundTime=159.55s | TotalTime=5455.60s | Method=fedrdn
[Round 035/100] Phase=standard | Stage=warmup | Acc=64.590 | RoundTime=152.16s | TotalTime=5607.77s | Method=fedrdn
[Round 036/100] Phase=standard | Stage=warmup | Acc=64.760 | RoundTime=160.41s | TotalTime=5768.20s | Method=fedrdn
[Round 037/100] Phase=standard | Stage=warmup | Acc=64.000 | RoundTime=158.57s | TotalTime=5926.77s | Method=fedrdn
[Round 038/100] Phase=standard | Stage=warmup | Acc=63.610 | RoundTime=160.60s | TotalTime=6087.38s | Method=fedrdn
